org_pac_id,facility_name,cbsa_title,rural,inland_empire,practice_size,incentive_ptcpt
941465322,FIRST CHOICE PHYSICIAN PARTNERS,"Modesto, CA",urban,CA other,medium,No Meaningful Attest
5092897025,PREMIER ANESTHESIA OF CALIFORNIA PC,"Stockton-Lodi, CA",urban,CA other,medium,No Meaningful Attest
8820393523,PULMONARY AND CRITICAL CARE ASSOCIATES OF MODESTO INC,"Modesto, CA",urban,CA other,small,No Meaningful Attest
1456257146,"MARIN HOSPITALIST MEDICAL GROUP, INC.","San Francisco-Oakland-Fremont, CA",urban,CA other,medium,No Meaningful Attest
2567715550,FARALLON INPATIENT MEDICAL GROUP INC,"San Francisco-Oakland-Fremont, CA",urban,CA other,small,No Meaningful Attest
3678464633,GALEN INPATIENT PHYSICIANS PC,"Riverside-San Bernardino-Ontario, CA",urban,Inland Empire,large,Meaningfully Attested
4587567490,OAKDALE MEDICAL GROUP INC,"Modesto, CA",urban,CA other,small,No Meaningful Attest
8921910225,PERMANENTE MEDICAL GROUP INC,"San Francisco-Oakland-Fremont, CA",urban,CA other,large,No Meaningful Attest
1658266622,WEST VALLEY RADIOLOGY MEDICAL GROUP INC,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,No Meaningful Attest
3476466376,BEVERLY RADIOLOGY MEDICAL GROUP III,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,No Meaningful Attest
3476466376,BEVERLY RADIOLOGY MEDICAL GROUP III,"Riverside-San Bernardino-Ontario, CA",urban,Inland Empire,medium,No Meaningful Attest
9830094515,SUTTER VALLEY MEDICAL FOUNDATION,"Vallejo, CA",urban,CA other,large,Meaningfully Attested
9830094515,SUTTER VALLEY MEDICAL FOUNDATION,"Sacramento-Roseville-Folsom, CA",urban,CA other,large,Meaningfully Attested
9830094515,SUTTER VALLEY MEDICAL FOUNDATION,"Yuba City, CA",urban,CA other,large,Meaningfully Attested
9638082456,COMPREHENSIVE COMMUNITY HEALTH CENTERS INC,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,No Meaningful Attest
8921910225,PERMANENTE MEDICAL GROUP INC,"Stockton-Lodi, CA",urban,CA other,large,No Meaningful Attest
143126920,CHILDRENS HOSPITAL LOS ANGELES MEDICAL GROUP INC,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,No Meaningful Attest
1355248584,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,large,Meaningfully Attested
2163816448,ADVANCED RADIOLOGY AND INTERVENTIONAL ASSOCIATES INC,"Stockton-Lodi, CA",urban,CA other,medium,No Meaningful Attest
2163816448,ADVANCED RADIOLOGY AND INTERVENTIONAL ASSOCIATES INC,"Redding, CA",urban,CA other,medium,No Meaningful Attest
3678850922,"TURLOCK IMAGING SERVICES, LLC","Modesto, CA",urban,CA other,medium,No Meaningful Attest
7113824277,CAMBRIA SOMERSET RADIOLOGY AND NUCLEAR MEDICINE GROUP INC,"Stockton-Lodi, CA",urban,CA other,medium,No Meaningful Attest
3678561263,ANESTHESIA PARTNERS OF NORTH VALLEY MEDICAL ASSOCIATES,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,No Meaningful Attest
4385027770,SOUND PHYSICIANS ANESTHESIOLOGY OF CALIFORNIA PC,"Riverside-San Bernardino-Ontario, CA",urban,Inland Empire,medium,No Meaningful Attest
4880936145,ADVANCED ANESTHESIA INCORPORATED,"Modesto, CA",urban,CA other,medium,No Meaningful Attest
648260836,VENTURA ANESTHESIA MEDICAL GROUP,"Oxnard-Thousand Oaks-Ventura, CA",urban,CA other,medium,Meaningfully Attested
2264423524,"CENTURY EYE CARE MEDICAL CENTER, INC","Los Angeles-Long Beach-Anaheim, CA",urban,CA other,small,Meaningfully Attested
NA,,"San Diego-Chula Vista-Carlsbad, CA",urban,CA other,NA,Meaningfully Attested
4981987559,"VALLEY WOMEN'S HEALTHCARE MEDICAL GROUP, INC","Fresno, CA",urban,CA other,small,No Meaningful Attest
6002729175,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,large,No Meaningful Attest
7618006263,"HOLLYWOOD PRESBYTERIAN EMERGENCY MEDICAL ASSOCIATES, INC.","Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,No Meaningful Attest
9032340047,CARBON HEALTH MEDICAL GROUP OF CALIFORNIA PC,"San Diego-Chula Vista-Carlsbad, CA",urban,CA other,large,No Meaningful Attest
7517929862,COMPREHENSIVE RENAL CARE GROUP A MEDICAL CORPORATION,"Chico, CA",urban,CA other,small,Meaningfully Attested
5890193908,DESCANSO ANESTHESIA GROUP,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,No Meaningful Attest
6002729175,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,"Riverside-San Bernardino-Ontario, CA",urban,Inland Empire,large,No Meaningful Attest
4789671066,"ARTHRITIS AND OSTEOPOROSIS MEDICAL CENTER, INC","Los Angeles-Long Beach-Anaheim, CA",urban,CA other,small,No Meaningful Attest
9537062302,THE WEST OAKLAND HEALTH COUNCIL,"San Francisco-Oakland-Fremont, CA",urban,CA other,medium,Meaningfully Attested
9638166572,"FULLERTON PHYSICAL THERAPY AND SPORTS CARE, INC","Los Angeles-Long Beach-Anaheim, CA",urban,CA other,small,No Meaningful Attest
6406086594,SURGICAL ANESTHESIA SPECIALISTS INC,"Napa, CA",urban,CA other,small,No Meaningful Attest
6406086594,SURGICAL ANESTHESIA SPECIALISTS INC,"San Francisco-Oakland-Fremont, CA",urban,CA other,small,No Meaningful Attest
9133168784,PATHOLOGY ASSOCIATES,"Fresno, CA",urban,CA other,medium,No Meaningful Attest
NA,,"Vallejo, CA",urban,CA other,NA,No Meaningful Attest
547164295,BEAVER MEDICAL GROUP PC,"Riverside-San Bernardino-Ontario, CA",urban,Inland Empire,medium,No Meaningful Attest
2062320559,DIGNITY HEALTH,"Redding, CA",urban,CA other,medium,Meaningfully Attested
3870579816,SHASTA COMMUNITY HEALTH CENTER,"Redding, CA",urban,CA other,medium,Meaningfully Attested
6002729175,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,"Oxnard-Thousand Oaks-Ventura, CA",urban,CA other,large,No Meaningful Attest
648277822,CHRISTOPHER K. TINER MEDICAL CORPORATION,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,small,No Meaningful Attest
NA,,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,NA,Meaningfully Attested
7719379395,FAMILY CHOICE ACO INC,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,Meaningfully Attested
9830094515,SUTTER VALLEY MEDICAL FOUNDATION,"Modesto, CA",urban,CA other,large,Meaningfully Attested
9830094515,SUTTER VALLEY MEDICAL FOUNDATION,"Stockton-Lodi, CA",urban,CA other,large,Meaningfully Attested
9830094515,SUTTER VALLEY MEDICAL FOUNDATION,"Sacramento-Roseville-Folsom, CA",urban,CA other,large,Meaningfully Attested
NA,,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,NA,Meaningfully Attested
2860449436,SIERRA EYECARE ASSOCIATES,NA,rural,NA,small,Meaningfully Attested
5698738532,SEQUOIA ONCOLOGY MEDICAL ASSOC,"Hanford-Corcoran, CA",urban,CA other,small,Meaningfully Attested
5698738532,SEQUOIA ONCOLOGY MEDICAL ASSOC,"Visalia, CA",urban,CA other,small,Meaningfully Attested
2567714090,VITUITY HOSPITALISTS PC,"San Francisco-Oakland-Fremont, CA",urban,CA other,medium,No Meaningful Attest
8426310004,"SAN FRANCISCO UNIFIED PHYSICIANS GROUP, INC","San Francisco-Oakland-Fremont, CA",urban,CA other,medium,No Meaningful Attest
NA,,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,NA,Meaningfully Attested
9032359534,EXER MEDICAL CORPORATION,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,No Meaningful Attest
9234238809,NORTHSTATE ANESTHESIOLOGY PARTNERS A MEDICAL CORPORATION,"Chico, CA",urban,CA other,medium,No Meaningful Attest
NA,,"Santa Rosa-Petaluma, CA",urban,CA other,NA,No Meaningful Attest
4688952906,HOSPITAL MEDICINE OF CALIFORNIA INC,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,No Meaningful Attest
8527072651,VALLEY DERMATOLOGIC MEDICAL GROUP INC,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,small,No Meaningful Attest
8921910225,PERMANENTE MEDICAL GROUP INC,"San Francisco-Oakland-Fremont, CA",urban,CA other,large,Meaningfully Attested
8921910225,PERMANENTE MEDICAL GROUP INC,"Sacramento-Roseville-Folsom, CA",urban,CA other,large,Meaningfully Attested
1456592351,SVMHS CLINICS,"Salinas, CA",urban,CA other,medium,Meaningfully Attested
7214839125,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,"Salinas, CA",urban,CA other,medium,Meaningfully Attested
9830094515,SUTTER VALLEY MEDICAL FOUNDATION,"Sacramento-Roseville-Folsom, CA",urban,CA other,large,No Meaningful Attest
NA,,"San Diego-Chula Vista-Carlsbad, CA",urban,CA other,NA,No Meaningful Attest
8224930466,PLUMAS DISTRICT HOSPITAL,NA,rural,NA,medium,No Meaningful Attest
9830094515,SUTTER VALLEY MEDICAL FOUNDATION,"Vallejo, CA",urban,CA other,large,No Meaningful Attest
9234472242,TOTAL VISION PC,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,No Meaningful Attest
3971803180,SOLAR URGENT CARE INC,"Oxnard-Thousand Oaks-Ventura, CA",urban,CA other,small,No Meaningful Attest
941465322,FIRST CHOICE PHYSICIAN PARTNERS,"San Luis Obispo-Paso Robles, CA",urban,CA other,medium,Meaningfully Attested
4587760749,"RETINA INSTITUTE OF CALIFORNIA MEDICAL GROUP, A CALIFORNIA MEDICAL PAR","Riverside-San Bernardino-Ontario, CA",urban,Inland Empire,medium,Meaningfully Attested
8921910225,PERMANENTE MEDICAL GROUP INC,"Fresno, CA",urban,CA other,large,No Meaningful Attest
8426945916,CENTRAL COAST ORTHOPEDIC MEDICAL GROUP,"San Luis Obispo-Paso Robles, CA",urban,CA other,medium,Meaningfully Attested
8426945916,CENTRAL COAST ORTHOPEDIC MEDICAL GROUP,"Santa Maria-Santa Barbara, CA",urban,CA other,medium,Meaningfully Attested
4789603549,SANI EYE CENTER INC.,"San Luis Obispo-Paso Robles, CA",urban,CA other,small,Meaningfully Attested
4789603549,SANI EYE CENTER INC.,"Salinas, CA",urban,CA other,small,Meaningfully Attested
6002729175,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,"San Diego-Chula Vista-Carlsbad, CA",urban,CA other,large,No Meaningful Attest
547490864,HYPERBARIC CONSULTANTS MEDICAL GROUP INC,"San Francisco-Oakland-Fremont, CA",urban,CA other,small,No Meaningful Attest
2668773276,HYPERBARIC MEDICAL SERVICES LLC,"San Francisco-Oakland-Fremont, CA",urban,CA other,small,No Meaningful Attest
5890916845,CSI MEDICAL GROUP,"San Francisco-Oakland-Fremont, CA",urban,CA other,medium,No Meaningful Attest
42120156,VISTA COMMUNITY CLINIC,"San Diego-Chula Vista-Carlsbad, CA",urban,CA other,medium,No Meaningful Attest
7012228992,24 ON PHYSICIANS OF CALIFORNIA PC,"El Centro, CA",urban,CA other,medium,No Meaningful Attest
6709797491,STANFORD HEALTH CARE,"San Jose-Sunnyvale-Santa Clara, CA",urban,CA other,large,Meaningfully Attested
6709797491,STANFORD HEALTH CARE,"San Francisco-Oakland-Fremont, CA",urban,CA other,large,Meaningfully Attested
7810800661,DIGNITY HEALTH MEDICAL FOUNDATION,"Truckee-Grass Valley, CA",urban,CA other,large,Meaningfully Attested
2062321151,JHA GERIATRIC SERVICES INC,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,No Meaningful Attest
2860707304,VEP MLK EMERGENCY MEDICAL GROUP INC,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,No Meaningful Attest
8921308636,CAPITAL HOSPITALIST MEDICAL GROUP INC,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,No Meaningful Attest
7315842002,HEALTHCARE PARTNERS AFFILIATES MEDICAL GROUP,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,large,Meaningfully Attested
1456646629,ADVENTIST HEALTH MEDICAL CENTER TEHACHAPI,"Bakersfield-Delano, CA",urban,CA other,medium,No Meaningful Attest
1557390580,SAN JOAQUIN COMMUNITY HOSPITAL,"Bakersfield-Delano, CA",urban,CA other,medium,No Meaningful Attest
3678897915,CEP AMERICA - ANESTHESIA PC,"Stockton-Lodi, CA",urban,CA other,large,No Meaningful Attest
9537155676,COMMUNITY MEMORIAL HEALTH SYSTEM,"Oxnard-Thousand Oaks-Ventura, CA",urban,CA other,medium,Meaningfully Attested
3577476761,REGENTS OF THE UNIVERSITY OF CALIFORNIA,"San Diego-Chula Vista-Carlsbad, CA",urban,CA other,large,No Meaningful Attest
5991609737,PROVIDENCE MEDICAL INSTITUTE,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,Meaningfully Attested
2769370535,UNIVERSITY ANESTHESIA MEDICAL GROUP,"San Francisco-Oakland-Fremont, CA",urban,CA other,medium,No Meaningful Attest
345406294,COMMUNITY FOUNDATION MEDICAL GROUP,"Fresno, CA",urban,CA other,medium,No Meaningful Attest
9335052083,SANTA BARBARA COUNTY AUDITOR,"Santa Maria-Santa Barbara, CA",urban,CA other,medium,No Meaningful Attest
1456592351,SVMHS CLINICS,"Salinas, CA",urban,CA other,medium,No Meaningful Attest
7719379395,FAMILY CHOICE ACO INC,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,No Meaningful Attest
NA,,"Napa, CA",urban,CA other,NA,Meaningfully Attested
8729990973,J ROBERT WEST MD INC,"Santa Maria-Santa Barbara, CA",urban,CA other,medium,No Meaningful Attest
NA,,"San Diego-Chula Vista-Carlsbad, CA",urban,CA other,NA,Meaningfully Attested
3274446687,MDRS SPINE AND SPORT INC,"San Diego-Chula Vista-Carlsbad, CA",urban,CA other,medium,No Meaningful Attest
6002076528,COMPREHENSIVE DERMATOLOGY OF LONG BEACH PC,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,small,Meaningfully Attested
7911810171,COUNTY OF VENTURA,"Oxnard-Thousand Oaks-Ventura, CA",urban,CA other,medium,No Meaningful Attest
9830002401,SOUTHERN MONO HEALTH CARE DISTRICT,NA,rural,NA,medium,No Meaningful Attest
4284538778,SUTTER BAY MEDICAL FOUNDATION,"San Jose-Sunnyvale-Santa Clara, CA",urban,CA other,large,Meaningfully Attested
2567655616,SOUTH VALLEY PATHOLOGY ASSOCIATES,"Bakersfield-Delano, CA",urban,CA other,small,No Meaningful Attest
8729990973,J ROBERT WEST MD INC,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,No Meaningful Attest
1153316112,ANESTHESIA AND ANALGESIA MEDICAL GROUP INC,"Santa Rosa-Petaluma, CA",urban,CA other,medium,No Meaningful Attest
840298543,LPCH MEDICAL GROUP DIV OF LUCILE,"San Jose-Sunnyvale-Santa Clara, CA",urban,CA other,medium,No Meaningful Attest
6204726102,PACIFIC HOSPITALIST ASSOCIATES,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,No Meaningful Attest
1951409572,MERCY EYE CARE MEDICAL GROUP INC,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,small,No Meaningful Attest
9436223781,SAND CANYON MEDICAL GROUP,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,small,No Meaningful Attest
5597715391,ELITE EYECARE MEDICAL GROUP A MEDICAL CORPORATION,"Santa Maria-Santa Barbara, CA",urban,CA other,medium,Meaningfully Attested
4981672342,GROSSMONT DERMATOLOGY MEDICAL CLINIC,"San Diego-Chula Vista-Carlsbad, CA",urban,CA other,small,Meaningfully Attested
7517245541,CONEJO LOS ROBLES ANESTHESIOLOGY MEDICAL GROUP INC,"Oxnard-Thousand Oaks-Ventura, CA",urban,CA other,medium,No Meaningful Attest
7315910049,GLENDALE INTERNAL MEDICINE AND CARDIOLOGY MEDICAL GROUP INC,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,small,Meaningfully Attested
6002728144,UCLA ASSOCIATED GENERAL SURGEONS,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,Meaningfully Attested
4880582618,LOS ROBLES EMERGENCY PHYSICIANS MEDICAL GROUP,"Oxnard-Thousand Oaks-Ventura, CA",urban,CA other,medium,No Meaningful Attest
8921019746,BURGER PHYSICAL THERAPY SERVICES INC,"Sacramento-Roseville-Folsom, CA",urban,CA other,medium,No Meaningful Attest
NA,,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,NA,Meaningfully Attested
1951555366,ARCADIA HOSPITALIST MEDICAL GROUP INC,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,Meaningfully Attested
5698687762,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,No Meaningful Attest
1153384755,"METROPOLITAN PAIN MANAGEMENT CONSULTANTS, INC","Sacramento-Roseville-Folsom, CA",urban,CA other,small,Meaningfully Attested
NA,,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,NA,Meaningfully Attested
NA,,"San Francisco-Oakland-Fremont, CA",urban,CA other,NA,Meaningfully Attested
4789083338,SEVEN STAR HOSPITAL ASSOCIATES INC,"Riverside-San Bernardino-Ontario, CA",urban,Inland Empire,medium,No Meaningful Attest
4789083338,SEVEN STAR HOSPITAL ASSOCIATES INC,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,No Meaningful Attest
6406812817,"ACTIVE PHYSICAL THERAPY, INC","Santa Maria-Santa Barbara, CA",urban,CA other,small,No Meaningful Attest
1850528530,STAT MED PC A CALIFORNIA MEDICAL PROFESSIONAL CORPORATION,"San Francisco-Oakland-Fremont, CA",urban,CA other,medium,No Meaningful Attest
9032340047,CARBON HEALTH MEDICAL GROUP OF CALIFORNIA PC,"San Francisco-Oakland-Fremont, CA",urban,CA other,large,No Meaningful Attest
9032340047,CARBON HEALTH MEDICAL GROUP OF CALIFORNIA PC,"Vallejo, CA",urban,CA other,large,No Meaningful Attest
42534208,ROBERT AFRA MD A PROFESSIONAL CORPORATION,"San Diego-Chula Vista-Carlsbad, CA",urban,CA other,small,No Meaningful Attest
NA,,"Riverside-San Bernardino-Ontario, CA",urban,Inland Empire,NA,No Meaningful Attest
2961571104,"SOUTHERN CALIFORNIA INTERVENTIONAL ASSOCIATES, PC","San Diego-Chula Vista-Carlsbad, CA",urban,CA other,small,No Meaningful Attest
8628972759,SHARP REES-STEALY MEDICAL GROUP INC,"San Diego-Chula Vista-Carlsbad, CA",urban,CA other,large,Meaningfully Attested
5991609737,PROVIDENCE MEDICAL INSTITUTE,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,Meaningfully Attested
5991609737,PROVIDENCE MEDICAL INSTITUTE,"Oxnard-Thousand Oaks-Ventura, CA",urban,CA other,medium,Meaningfully Attested
3779751656,CITY OF HOPE MEDICAL FOUNDATION,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,large,Meaningfully Attested
3577536721,FRIENDS MEDICAL GROUP INC,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,small,Meaningfully Attested
446272942,A DAVTIAN MD MEDICAL SERVICES INC,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,small,No Meaningful Attest
NA,,"San Francisco-Oakland-Fremont, CA",urban,CA other,NA,No Meaningful Attest
6709797491,STANFORD HEALTH CARE,"San Jose-Sunnyvale-Santa Clara, CA",urban,CA other,large,No Meaningful Attest
NA,,"Santa Maria-Santa Barbara, CA",urban,CA other,NA,No Meaningful Attest
3779494521,ALAMEDA HEALTH SYSTEM,"San Francisco-Oakland-Fremont, CA",urban,CA other,large,No Meaningful Attest
7315842002,HEALTHCARE PARTNERS AFFILIATES MEDICAL GROUP,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,large,No Meaningful Attest
5597731786,TORREY PINES DERMATOLOGY A MEDICAL CORPORATION,"San Diego-Chula Vista-Carlsbad, CA",urban,CA other,small,Meaningfully Attested
5799854303,AMERICAN CURRENT CARE OF CALIFORNIA A MEDICAL CORPORATION,"San Diego-Chula Vista-Carlsbad, CA",urban,CA other,medium,Meaningfully Attested
3072893460,SUNSHINE PHYSICIAN SERVICES PC,"Bakersfield-Delano, CA",urban,CA other,small,No Meaningful Attest
5890689657,EISENHOWER MEDICAL CENTER,"Riverside-San Bernardino-Ontario, CA",urban,Inland Empire,large,Meaningfully Attested
3870899107,FOLSOM URGENT CARE INC,"Sacramento-Roseville-Folsom, CA",urban,CA other,small,No Meaningful Attest
5395726491,TORRANCE ANESTHESIA MEDICAL GROUP INC.,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,No Meaningful Attest
3476542515,JOHN MUIR TRAUMA PHYSICIANS BILLING SERVICE,"San Francisco-Oakland-Fremont, CA",urban,CA other,medium,No Meaningful Attest
6608789813,JOHN MUIR PHYSICIAN NETWORK,"San Francisco-Oakland-Fremont, CA",urban,CA other,large,No Meaningful Attest
7416940697,WILLITS HOSPITAL INC,"Ukiah, CA",urban,CA other,medium,No Meaningful Attest
446545354,TEAM PHYSICIANS OF SOUTHERN CALIFORNIA MEDICAL GROUP INC,"San Diego-Chula Vista-Carlsbad, CA",urban,CA other,medium,No Meaningful Attest
9830593730,"PALOMAR EMERGENCY PHYSICIANS, INC","San Diego-Chula Vista-Carlsbad, CA",urban,CA other,medium,No Meaningful Attest
42373862,STANISLAUS ORTHOPAEDIC AND SPORTS MEDICINE CLINIC,"Modesto, CA",urban,CA other,small,Meaningfully Attested
9830094515,SUTTER VALLEY MEDICAL FOUNDATION,"Sacramento-Roseville-Folsom, CA",urban,CA other,large,Meaningfully Attested
3678534658,"FOLSOM ORTHOPAEDIC SURGERY AND SPORTS INJURY MEDICAL CLINIC, INC.","Sacramento-Roseville-Folsom, CA",urban,CA other,small,Meaningfully Attested
8729277314,MEMORIALCARE MEDICAL FOUNDATION,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,large,No Meaningful Attest
1254223134,SISKIYOU HOSPITAL INC,NA,rural,NA,medium,No Meaningful Attest
4385706845,ELICA HEALTH CENTERS,"Sacramento-Roseville-Folsom, CA",urban,CA other,medium,No Meaningful Attest
9931143799,CENTERS FOR FAMILY MEDICINE,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,No Meaningful Attest
2961599436,SENDAS NORTHWEST URGENT CARE,"Bakersfield-Delano, CA",urban,CA other,small,No Meaningful Attest
4385730407,"PREMIER FAMILY HEALTH CARE, A PROFESSIONAL CORPORATION","Bakersfield-Delano, CA",urban,CA other,small,No Meaningful Attest
6406171461,TALBERT ANESTHESIA GROUP INCORPORATED,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,Meaningfully Attested
NA,,"Riverside-San Bernardino-Ontario, CA",urban,Inland Empire,NA,Meaningfully Attested
7113975996,BUENA VISTA ANESTHESIA MEDICAL GROUP,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,medium,No Meaningful Attest
6002729175,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,"San Diego-Chula Vista-Carlsbad, CA",urban,CA other,large,Meaningfully Attested
5890689657,EISENHOWER MEDICAL CENTER,"Riverside-San Bernardino-Ontario, CA",urban,Inland Empire,large,No Meaningful Attest
NA,,"Chico, CA",urban,CA other,NA,Meaningfully Attested
2365866746,JEREMY LA MOTTE MD,"Los Angeles-Long Beach-Anaheim, CA",urban,CA other,small,No Meaningful Attest
9133227135,MOUNTAIN COMMUNITIES HEALTHCARE DISTRICT,NA,rural,NA,medium,Meaningfully Attested
2668886383,GOLDEN HEALTH MEDICAL INC,"Modesto, CA",urban,CA other,small,No Meaningful Attest
1850293960,BARTON HEALTHCARE SYSTEM,"Sacramento-Roseville-Folsom, CA",urban,CA other,medium,Meaningfully Attested
6507754488,COUNTY OF RIVERSIDE,"Riverside-San Bernardino-Ontario, CA",urban,Inland Empire,medium,No Meaningful Attest
